profissão,grupo,proporcao,fonte
maquiadora,Especialistas em tratamento de beleza e afins,95,https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
pedagoga,Especialistas em métodos pedagógicos,88,https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
astrônoma,"Físicos, Químicos e Afins","46,5",https://biblioteca.ibge.gov.br/visualizacao/livros/liv101784_informativo.pdf
diarista,Trabalhadores dos serviços domésticos em geral,95,https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
balconista,Balconistas e vendedores de lojas,"62,9",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
mototaxista,Operadores de instalações e máquinas e montadores,"13,8",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
socióloga,Ciências sociais e comportamentais,"70,4",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
tenente-coronel,"Membros das forças armadas, policiais e bombeiros militares","13,2",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
cuidadora,Trabalhadores dos serviços domésticos em geral,95,https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
dramaturga,Profissionais de Espetáculos e das Artes,53,https://arteref.com/podcasts/mulheres-artistas-representam-2-do-mercado-como-mudar-isto/
esteticista,Especialistas em tratamento de beleza e afins,95,https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
programadora,Programadora,"13,3",https://biblioteca.ibge.gov.br/visualizacao/livros/liv101784_informativo.pdf
escrevente,Trabalhadores de apoio administrativo,"64,5",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
frentista,Balconistas e vendedores de lojas,"62,9",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
corretora,Negócios e administração,"53,7",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
maquinista,Operadores de instalações e máquinas e montadores,"13,8",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
soldada,"Membros das forças armadas, policiais e bombeiros militares","13,2",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
escrivã,Trabalhadores de apoio administrativo,"64,5",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
geneticista,Geneticista,"66,9",https://www1.folha.uol.com.br/equilibrioesaude/2020/03/medicina-fica-mais-feminina-mas-ainda-e-desigual.shtml
eletricista,Trabalhadores de Construção civil,"9,4",https://noticias.portaldaindustria.com.br/noticias/trabalho/participacao-de-mulheres-no-mercado-de-trabalho-industrial-cresce-143-em-20-anos/
pedicure,Especialistas em tratamento de beleza e afins,95,https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
boiadeira,Operadores de instalações e máquinas e montadores,"13,8",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
marinheira,Operadores de instalações e máquinas e montadores,"13,8",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
copista,Trabalhadores de apoio administrativo,"64,5",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
cenógrafa,Profissionais de Espetáculos e das Artes,53,https://arteref.com/podcasts/mulheres-artistas-representam-2-do-mercado-como-mudar-isto/
iluminadora,Ténicos em áudio visual,40,https://abcine.org.br/site/elas-por-tras-das-cameras-reflexoes-sobre-as-mulheres-no-audiovisual/
carvoeiro,"Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca","21,1",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
psicopedagoga,Especialistas em métodos pedagógicos,88,https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
bombeira,Bombeira,"8,6",https://www.jornaldocomercio.com/_conteudo/jornal_cidades/2020/11/767085-mulheres-representam-8-6-do-total-da-corporacao-dos-bombeiros.html
subtenente,"Membros das forças armadas, policiais e bombeiros militares","13,2",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
sargenta,"Membros das forças armadas, policiais e bombeiros militares","13,2",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
açougueiro,"Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca","21,1",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
garimpeiro,"Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca","21,1",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
papiloscopista,Trabalhadores de apoio administrativo,"64,5",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
colorista,Ténicos em áudio visual,40,https://abcine.org.br/site/elas-por-tras-das-cameras-reflexoes-sobre-as-mulheres-no-audiovisual/
limpadora,Trabalhadores dos serviços domésticos em geral,95,https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
geógrafa,Ciências sociais e comportamentais,"70,4",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
caminhoneira,Operadores de instalações e máquinas e montadores,"13,8",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
audiologista,Especialistas em métodos pedagógicos,88,https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/b06abac34a360666981b4b86621776f2.pdf
vidraceira,Trabalhadores de Construção civil,"9,4",https://noticias.portaldaindustria.com.br/noticias/trabalho/participacao-de-mulheres-no-mercado-de-trabalho-industrial-cresce-143-em-20-anos/
taquígrafa,Trabalhadores de apoio administrativo,"64,5",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
seringueira,"Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca","21,1",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
encanadora,Trabalhadores de Construção civil,"9,4",https://noticias.portaldaindustria.com.br/noticias/trabalho/participacao-de-mulheres-no-mercado-de-trabalho-industrial-cresce-143-em-20-anos/
fundidora,Trabalhadores de Usinagem de Metais e de Compósitos,"14,8",https://noticias.portaldaindustria.com.br/noticias/trabalho/participacao-de-mulheres-no-mercado-de-trabalho-industrial-cresce-143-em-20-anos/
alergista,Alergista,"68,2",https://www1.folha.uol.com.br/equilibrioesaude/2020/03/medicina-fica-mais-feminina-mas-ainda-e-desigual.shtml
sonoplasta,Ténicos em áudio visual,40,https://abcine.org.br/site/elas-por-tras-das-cameras-reflexoes-sobre-as-mulheres-no-audiovisual/
serralheira,Trabalhadores de Usinagem de Metais e de Compósitos,"14,8",https://noticias.portaldaindustria.com.br/noticias/trabalho/participacao-de-mulheres-no-mercado-de-trabalho-industrial-cresce-143-em-20-anos/
marmorista,Trabalhadores de Construção civil,"9,4",https://noticias.portaldaindustria.com.br/noticias/trabalho/participacao-de-mulheres-no-mercado-de-trabalho-industrial-cresce-143-em-20-anos/
carpinteira,Trabalhadores das indústrias de madeira e do mobiliário,"21,5",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
galvanizadora,Trabalhadores de Usinagem de Metais e de Compósitos,"14,8",https://noticias.portaldaindustria.com.br/noticias/trabalho/participacao-de-mulheres-no-mercado-de-trabalho-industrial-cresce-143-em-20-anos/
viveirista,"Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca","21,1",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
estenotipista,Trabalhadores de apoio administrativo,"64,5",https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/93fe55e0692c504efbc849b796921b18.pdf
